distribution,flaw,magnitude,vis,parameter,id,index,training,correct,rt,vizIndex,excluded
normal,spike,10,histogram,28,55ea70c37480920010aa9982,80,0,0,25688,viz16,0
normal,spike,15,histogram,7,55ea70c37480920010aa9982,81,0,1,12680,viz9,0
normal,spike,20,density,0.0175,55ea70c37480920010aa9982,82,0,1,6911,viz3,0
normal,gap,15,scatter,0.0875,55ea70c37480920010aa9982,83,0,1,8816,viz4,0
normal,spike,20,histogram,7,55ea70c37480920010aa9982,84,0,1,4872,viz12,0
normal,spike,15,scatter,0.0875,55ea70c37480920010aa9982,85,0,1,3440,viz9,0
normal,outliers,10,histogram,7,55ea70c37480920010aa9982,86,0,1,10279,viz15,0
normal,gap,15,histogram,14,55ea70c37480920010aa9982,87,0,1,14155,viz5,0
normal,outliers,10,scatter,0.0875,55ea70c37480920010aa9982,88,0,0,12027,viz20,0
normal,outliers,10,scatter,0.175,55ea70c37480920010aa9982,89,0,0,9312,viz12,0
normal,spike,15,histogram,14,55ea70c37480920010aa9982,90,0,1,8031,viz14,0
normal,outliers,25,density,0.0175,567b4ea8b7d79a0012b27089,1,1,1,23675,viz14,0
normal,outliers,25,histogram,28,567b4ea8b7d79a0012b27089,2,1,0,16030,viz6,0
normal,outliers,25,scatter,0.0875,567b4ea8b7d79a0012b27089,3,1,1,46288,viz19,0
normal,gap,25,density,0.0175,567b4ea8b7d79a0012b27089,4,1,1,6718,viz18,0
normal,gap,25,histogram,28,567b4ea8b7d79a0012b27089,5,1,1,4257,viz17,0
normal,gap,25,scatter,0.0875,567b4ea8b7d79a0012b27089,6,1,1,7174,viz10,0
normal,spike,25,density,0.0175,567b4ea8b7d79a0012b27089,7,1,1,4412,viz10,0
normal,spike,25,histogram,28,567b4ea8b7d79a0012b27089,8,1,1,6503,viz2,0
normal,spike,25,scatter,0.0875,567b4ea8b7d79a0012b27089,9,1,1,5062,viz6,0
normal,spike,20,histogram,7,567b4ea8b7d79a0012b27089,10,0,1,8408,viz17,0
normal,gap,20,density,0.07,567b4ea8b7d79a0012b27089,11,0,0,8039,viz3,0
normal,gap,15,scatter,0.0875,567b4ea8b7d79a0012b27089,12,0,0,8632,viz13,0
normal,outliers,20,density,0.07,567b4ea8b7d79a0012b27089,13,0,1,3015,viz3,0
normal,outliers,15,density,0.0175,567b4ea8b7d79a0012b27089,14,0,1,6556,viz19,0
normal,outliers,20,density,0.035,567b4ea8b7d79a0012b27089,15,0,1,3401,viz2,0
normal,outliers,10,density,0.035,567b4ea8b7d79a0012b27089,16,0,1,4859,viz6,0
normal,gap,15,scatter,0.175,567b4ea8b7d79a0012b27089,17,0,0,13390,viz12,0
normal,gap,15,density,0.0175,567b4ea8b7d79a0012b27089,18,0,0,10088,viz8,0
normal,spike,10,scatter,0.175,567b4ea8b7d79a0012b27089,19,0,1,9972,viz14,0
normal,outliers,15,histogram,14,567b4ea8b7d79a0012b27089,20,0,0,10219,viz1,0
normal,gap,10,histogram,28,567b4ea8b7d79a0012b27089,21,0,0,5830,viz12,0
normal,gap,10,density,0.035,567b4ea8b7d79a0012b27089,22,0,0,7582,viz7,0
normal,outliers,10,scatter,0.175,567b4ea8b7d79a0012b27089,23,0,0,6765,viz9,0
normal,gap,20,histogram,14,567b4ea8b7d79a0012b27089,24,0,0,6095,viz20,0
normal,outliers,15,histogram,28,567b4ea8b7d79a0012b27089,25,0,0,8230,viz5,0
normal,outliers,20,histogram,7,567b4ea8b7d79a0012b27089,26,0,0,12965,viz18,0
normal,gap,15,histogram,14,567b4ea8b7d79a0012b27089,27,0,0,12303,viz18,0
normal,gap,10,histogram,14,567b4ea8b7d79a0012b27089,28,0,1,4761,viz6,0
normal,gap,20,density,0.0175,567b4ea8b7d79a0012b27089,29,0,1,4210,viz1,0
normal,gap,10,scatter,0.35,567b4ea8b7d79a0012b27089,30,0,1,5870,viz11,0
normal,spike,10,histogram,14,567b4ea8b7d79a0012b27089,31,0,0,5654,viz12,0
normal,spike,20,density,0.07,567b4ea8b7d79a0012b27089,32,0,0,4774,viz16,0
normal,outliers,10,histogram,14,567b4ea8b7d79a0012b27089,33,0,0,10899,viz9,0
normal,spike,10,density,0.035,567b4ea8b7d79a0012b27089,34,0,1,6162,viz18,0
normal,outliers,20,scatter,0.175,567b4ea8b7d79a0012b27089,35,0,0,3709,viz8,0
normal,gap,10,density,0.07,567b4ea8b7d79a0012b27089,36,0,0,6016,viz5,0
normal,spike,15,scatter,0.175,567b4ea8b7d79a0012b27089,37,0,0,4849,viz20,0
normal,spike,20,density,0.0175,567b4ea8b7d79a0012b27089,38,0,1,4827,viz9,0
normal,gap,20,histogram,28,567b4ea8b7d79a0012b27089,39,0,0,10890,viz9,0
normal,spike,15,histogram,7,567b4ea8b7d79a0012b27089,40,0,0,4073,viz7,0
normal,spike,15,histogram,14,567b4ea8b7d79a0012b27089,41,0,1,4812,viz12,0
normal,outliers,10,density,0.0175,567b4ea8b7d79a0012b27089,42,0,0,5551,viz8,0
normal,outliers,10,histogram,28,567b4ea8b7d79a0012b27089,43,0,0,3801,viz7,0
normal,spike,20,scatter,0.0875,567b4ea8b7d79a0012b27089,44,0,1,7027,viz17,0
normal,outliers,15,scatter,0.35,567b4ea8b7d79a0012b27089,45,0,1,6137,viz13,0
normal,outliers,15,scatter,0.175,567b4ea8b7d79a0012b27089,46,0,0,3293,viz9,0
normal,spike,20,density,0.035,567b4ea8b7d79a0012b27089,47,0,1,4612,viz20,0
normal,outliers,20,scatter,0.0875,567b4ea8b7d79a0012b27089,48,0,1,4379,viz8,0
normal,gap,10,scatter,0.0875,567b4ea8b7d79a0012b27089,49,0,0,7982,viz20,0
normal,gap,10,scatter,0.175,567b4ea8b7d79a0012b27089,50,0,1,4858,viz7,0
normal,spike,10,histogram,7,567b4ea8b7d79a0012b27089,51,0,0,8698,viz10,0
normal,spike,20,histogram,14,567b4ea8b7d79a0012b27089,52,0,1,1904,viz2,0
normal,outliers,20,histogram,14,567b4ea8b7d79a0012b27089,53,0,0,7550,viz16,0
normal,outliers,15,scatter,0.0875,567b4ea8b7d79a0012b27089,54,0,1,2792,viz11,0
normal,gap,15,density,0.035,567b4ea8b7d79a0012b27089,55,0,1,9678,viz15,0
normal,spike,15,density,0.0175,567b4ea8b7d79a0012b27089,56,0,1,3794,viz16,0
normal,gap,20,scatter,0.0875,567b4ea8b7d79a0012b27089,57,0,1,4819,viz8,0
normal,gap,10,histogram,7,567b4ea8b7d79a0012b27089,58,0,0,5414,viz14,0
normal,outliers,20,scatter,0.35,567b4ea8b7d79a0012b27089,59,0,0,7696,viz13,0
normal,outliers,10,scatter,0.35,567b4ea8b7d79a0012b27089,60,0,0,4250,viz4,0
normal,spike,15,scatter,0.0875,567b4ea8b7d79a0012b27089,61,0,1,3316,viz10,0
normal,spike,20,scatter,0.175,567b4ea8b7d79a0012b27089,62,0,1,4296,viz12,0
normal,spike,15,density,0.035,567b4ea8b7d79a0012b27089,63,0,0,4671,viz15,0
normal,spike,20,histogram,28,567b4ea8b7d79a0012b27089,64,0,1,1796,viz5,0
normal,spike,20,scatter,0.35,567b4ea8b7d79a0012b27089,65,0,0,9300,viz13,0
normal,spike,10,scatter,0.0875,567b4ea8b7d79a0012b27089,66,0,1,3432,viz5,0
normal,outliers,15,density,0.035,567b4ea8b7d79a0012b27089,67,0,0,6810,viz19,0
normal,spike,15,density,0.07,567b4ea8b7d79a0012b27089,68,0,0,6300,viz8,0
normal,outliers,10,density,0.07,567b4ea8b7d79a0012b27089,69,0,0,5776,viz1,0
normal,outliers,10,histogram,7,567b4ea8b7d79a0012b27089,70,0,0,4474,viz14,0
normal,spike,10,histogram,28,567b4ea8b7d79a0012b27089,71,0,0,4982,viz4,0
normal,outliers,15,density,0.07,567b4ea8b7d79a0012b27089,72,0,0,4603,viz5,0
normal,gap,20,scatter,0.175,567b4ea8b7d79a0012b27089,73,0,1,1904,viz2,0
normal,spike,15,scatter,0.35,567b4ea8b7d79a0012b27089,74,0,1,6508,viz7,0
normal,gap,20,scatter,0.35,567b4ea8b7d79a0012b27089,75,0,0,7896,viz12,0
normal,gap,10,density,0.0175,567b4ea8b7d79a0012b27089,76,0,0,6361,viz6,0
normal,spike,10,density,0.0175,567b4ea8b7d79a0012b27089,77,0,0,5846,viz7,0
normal,gap,20,histogram,7,567b4ea8b7d79a0012b27089,78,0,0,3345,viz13,0
normal,outliers,10,scatter,0.0875,567b4ea8b7d79a0012b27089,79,0,0,2638,viz7,0
normal,spike,10,density,0.07,567b4ea8b7d79a0012b27089,80,0,1,4704,viz8,0
normal,outliers,20,histogram,28,567b4ea8b7d79a0012b27089,81,0,0,3129,viz6,0
normal,gap,15,density,0.07,567b4ea8b7d79a0012b27089,82,0,0,5375,viz6,0
normal,spike,15,histogram,28,567b4ea8b7d79a0012b27089,83,0,0,5939,viz16,0
normal,spike,10,scatter,0.35,567b4ea8b7d79a0012b27089,84,0,0,6537,viz1,0
normal,gap,15,histogram,7,567b4ea8b7d79a0012b27089,85,0,0,3845,viz8,0
normal,gap,15,scatter,0.35,567b4ea8b7d79a0012b27089,86,0,1,4480,viz10,0
normal,gap,20,density,0.035,567b4ea8b7d79a0012b27089,87,0,1,6246,viz2,0
normal,gap,15,histogram,28,567b4ea8b7d79a0012b27089,88,0,0,7140,viz16,0
normal,outliers,20,density,0.0175,567b4ea8b7d79a0012b27089,89,0,0,4380,viz5,0
normal,outliers,15,histogram,7,567b4ea8b7d79a0012b27089,90,0,0,4342,viz7,0
normal,outliers,25,density,0.0175,578fc7e8275be60001359ac0,1,1,1,3928,viz7,0
